Company,Role,Location (Remote/Hybrid/Onsite),Employment Type (Full‑time/Contract),Summary of responsibilities and qualifications,Salary range (if available),Link,,,,,,,,
Platform-6/ServiceNow,ServiceNow Director (Remote),Remote with travel up to 25%; candidate can be based in Dallas, Chicago or New Jersey,Full‑time,Leads ServiceNow practice across ITSM, ITOM, HRSD, CSM and SecOps; drives growth, sales strategy and delivery; manages client relationships and risk; requires 7+ years ServiceNow across multiple modules and 12+ years consulting experiencehttps://www.platform-6.com/job/servicenow-director-remote-working-usa-or-nj-il-or-dallas-texas-usa/#:~:text=An%20exciting%20opportunity%20exists%20for,travel%20maximum,USD 180k–240k base + 20% bonus + 401(k)https://www.platform-6.com/job/servicenow-director-remote-working-usa-or-nj-il-or-dallas-texas-usa/#:~:text=An%20exciting%20opportunity%20exists%20for,travel%20maximum,https://www.platform-6.com/job/servicenow-director-remote-working-usa/,
Wolters Kluwer,Director of Product Software Engineering (Platform Engineering & Architecture),Hybrid – 8 days/month onsite in Coppell, TX (Dallas area),Full‑time,Leads developer enablement and infrastructure platform operations (Kubernetes, GitOps, CI/CD); owns Argo CD/Akuity administration; standardizes microservice onboarding and container release processes; builds SRE and platform capabilities; trains teams; ensures compliance with quality and security policies; requires deep experience in platform engineering, Kubernetes, GitOps and AI developer toolshttps://jobright.ai/jobs/info/68ffd22ce04ac838fb5bbbdc#:~:text=Responsibilities,Similar director‑level roles at Wolters Kluwer list salary ranges around USD 151.7k–295.6k/yrhttps://earnbetter.com/app/job/01JP8H37S7KDFQ68B6PJKQGB2A/#:~:text=Hybrid%20%E2%80%A2%20Full,%E2%80%A2%20Senior%20Managerhttps://earnbetter.com/app/job/01JP8H37S7KDFQ68B6PJKQGB2A/#:~:text=Compensation%3A,https://wk.wd3.myworkdayjobs.com/wolters_kluwer/job/Director–Product-Software-Engineering-Platform-Engineering-Architecture_R0052065,,
Ryan,Director of Product Management (“Dallas Remote”),Remote with occasional travel (listed as Dallas Remote),Full‑time,Drives product strategy and roadmaps for enterprise software; formulates hypotheses and KPIs; analyses product and business data; builds a high‑performing product team; works closely with customers and cross‑functional teams; requires 10+ years enterprise product management and experience with Agile SDLC,Not specified,https://ryanstateandlocal.wd1.myworkdayjobs.com/en-US/stateandlocal/job/Director-of-Product-Management_R0018817,,,,,,,,
OneMain Financial,Director of Digital Experience Platforms,Hybrid – must be within commutable distance to offices (Dallas, Charlotte, NYC or Baltimore) and attend Tuesday–Thursday onsite,Full‑time,Owns vision, strategy and roadmap for web and mobile digital channels; leads product teams; unifies design systems; oversees content management, A/B testing and analytics; champions customer‑centric and data‑driven culture; ensures platform reliability and collaboration with securityhttps://jobs.onemainfinancial.com/job/new-york/director-digital-experience-platforms/21631/90964183216#:~:text=We%20are%20seeking%20a%20senior,experiences%20across%20the%20digital%20channels,NY/Baltimore salary range USD 170k–210k and benefits such as health, dental, 401(k) match and stock planhttps://jobs.onemainfinancial.com/job/new-york/director-digital-experience-platforms/21631/90964183216#:~:text=This%20role%20is%20Hybrid,office%20Tuesday%2C%20Wednesday%20and%20Thursday,https://www.onemainfinancial.com/careers/job/Director-Digital-Experience-Platforms
Options Clearing Corporation (OCC),Director of Software Engineering – Risk Platform,Hybrid – Dallas with up to two remote days per week,Full‑time,Manages team to build scalable cloud‑based risk applications; mentors distributed development teams; hands‑on coding, testing and troubleshooting; recommends architectural changes; drives performance and resilience optimization; champions DevOps and transformation; coordinates with financial domain experts; builds and manages teamhttps://career.io/job/director-software-engineering-risk-platform-dallas-the-options-clearing-corporation-3c4c0638cb75754c2c305060dd63f150#:~:text=about%202%20months%20ago,Salary range USD 169.1k–280.8k/yrhttps://career.io/job/director-software-engineering-risk-platform-dallas-the-options-clearing-corporation-3c4c0638cb75754c2c305060dd63f150#:~:text=about%202%20months%20ago,https://careers.theocc.com/job/director-software-engineering-risk-platform,,,,,,,
BOK Financial,Director – Cloud Data Platform Engineering,Dallas (likely hybrid/onsite with flexibility),Full‑time or Contract,Builds and scales cloud‑native data pipelines and platforms using AWS services (S3, Iceberg, Snowflake, EMR, Kafka, PySpark); architects secure, performant real‑time and batch pipelines; champions DevOps and automation; leads change management to modernize data platforms; ensures data quality, lineage and compliance; mentors cloud data engineershttps://diversityjobs.com/career/15336297/Director-Cloud-Data-Platform-Engineering-Texas-Dallas#:~:text=The%20Director%20,solutions%20that%20support%20enterprise%20transformation,Not specified (compensation details not listed),https://careers.bokf.com/job/director-cloud-data-platform-engineering
Depository Trust & Clearing Corporation (DTCC),Director of Platform Engineering (Enterprise Scheduling Platform),Hybrid – requires 3 days/week onsite in Dallas (Tuesdays, Wednesdays and one other day),Full‑time,Leads modernization of enterprise scheduling and orchestration platforms in public cloud; oversees adoption of Apache Airflow; manages and grows team of 6–10 engineers; collaborates with application development, data and infrastructure teams; defines scheduling strategy and ensures resiliency and compliance; engages with vendors; travels occasionally for team alignmentfile:///home/oai/redirect.html#:~:text=Director%20Platform%20Engineeringfile:///home/oai/redirect.html#:~:text=,for%20alignment%20and%20team%20engagement,Salary range USD 150k–180k/yr plus benefits and hybrid work modelfile:///home/oai/redirect.html#:~:text=Director%20Platform%20Engineering,https://www.theladders.com/job/director-platform-engineering-dtcc-dallas-tx,,,,,
Ethena Labs,Head of Platform Engineering,Globally Remote (U.S. applicants considered),Full‑time (startup),Spearheads development of scalable, secure and high‑performing infrastructure for crypto‑based digital dollar products; leads small DevOps team; writes code, designs architecture and solves complex challenges; implements infrastructure strategy using Terraform, Kubernetes and monitoring; drives security practices and compliance (SOC 2, GDPR); optimizes developer experience and cost efficiencyhttps://jobs.lever.co/ethenalabs/2689e46e-beb2-48e4-a80d-8f302d37e6d1#:~:text=The%20Rolehttps://jobs.lever.co/ethenalabs/2689e46e-beb2-48e4-a80d-8f302d37e6d1#:~:text=What%20We%E2%80%99re%20Looking%20For,Not specified,https://jobs.lever.co/ethenalabs/2689e46e-beb2-48e4-a80d-8f302d37e6d1,,,,
CivicPlus,Director of Platform Engineering,Remote (U.S.) with occasional on‑call duty,Full‑time,Defines platform vision and leads shared services across multi‑cloud infrastructure (AWS and Azure); manages SRE and DevOps teams; builds developer platforms and CI/CD automation; ensures reliability, observability and cost governance; implements compliance frameworks (GovRAMP/FedRAMP/NIST/STIG/ISO 27001); engages with government agencies; requires 7+ years platform/SRE leadership and knowledge of secure cloud architectureshttps://jobs.jobvite.com/civicplus/job/o3fgzfwR#:~:text=What%20You%E2%80%99ll%20Dohttps://jobs.jobvite.com/civicplus/job/o3fgzfwR#:~:text=Compensation%20and%20Benefits,Estimated salary range USD 177k–279.6k/yr with benefits such as health, dental, vision, flexible time off and 401(k)https://jobs.jobvite.com/civicplus/job/o3fgzfwR#:~:text=Compensation%20and%20Benefits,https://jobs.jobvite.com/civicplus/job/o3fgzfwR,,,,
LocalStack,Director of Platform Engineering,Remote (Germany, Spain, UK or Netherlands) — remote global company,Full‑time (startup),Leads development and scaling of LocalStack’s cloud‑emulation platform; defines platform architecture and roadmap; coordinates cross‑functional engineering teams; ensures reliability and performance; fosters growth of remote engineering culture; requires experience with distributed systems, platform scalability and asynchronous programming,Not specified (startup; compensation not listed),https://apply.workable.com/localstack/j/FB40979C0E/,,,,,
Modus Create,Senior Director of Platform Engineering,Remote (USA),Full‑time (consulting),Guides and grows global platform engineering capability; mentors distributed teams; defines technical standards and reusable runbooks; helps clients modernize platforms and launch new infrastructure; owns delivery frameworks and DevOps/SRE practices; partners with sales and client executives to shape new opportunities; requires 15+ years in platform engineering/DevOps and experience scaling distributed teamshttps://www.moduscreate.com/careers/7545474003#:~:text=Join%20Us%20as%20Our%20Next,Senior%20Director%20Platform%20Engineeringhttps://www.moduscreate.com/careers/7545474003#:~:text=,growth%20tech%20environments,Not specified; remote consulting firm offers flexible benefitshttps://www.moduscreate.com/careers/7545474003#:~:text=Perks%20of%20working%20with%20us%3A,https://www.moduscreate.com/careers/7545474003,,,,,,
Notabene,Director of Platform Engineering,Remote (North America or Europe) – accessible to Dallas-based applicants,Full‑time (startup),Architects a unified operating model for crypto‑compliance platform; rolls out AI‑driven agentic tooling; identifies and removes bottlenecks via Theory of Constraints; mentors engineers to adopt practices and ensures high‑quality results; brings product and infrastructure strategy alignment; requires hands‑on leadership and cross‑functional collaboration,Not specified (small startup),https://jobs.ashbyhq.com/notabene/30f3d637-b5e1-4b48-b33a-f2350d4b5e9f,,,,,,,,
