
Title,Company,WorkArrangement,JobType,SalaryRangeUSD,URL
"Lead Platform Engineer","Bookmarked","Remote (Dallas strongly preferred)","Full-time","Competitive (not specified)","https://content.bookmarked.com/bookmarked-lead-platform-engineer"
"Staff Platform Engineer","LTK","Fully remote","Full-time","Not specified","https://startup.jobs/staff-platform-engineer-ltk-usa-7214517"
"Engineering Manager (Institutional - Derivatives)","Coinbase","Remote-first with occasional on-site offsites","Full-time","218025-256500","https://builtin.com/job/engineering-manager-institutional-derivatives/7954291"
"Engineering Manager, AI Capabilities","Zapier","Fully remote","Full-time","Not specified","https://builtin.com/job/engineering-manager-ai-capabilities/7822838"
"Engineering Manager, Asset Management (Enterprise Zone)","Zapier","Remote","Full-time","Not specified","https://builtin.com/job/engineering-manager-canvas/7710019"
"Engineering Manager","LiveFlow","Fully remote","Full-time","Not specified","https://builtin.com/job/head-engineering/6267061"
"Lead Platform Engineer (GCP expertise)","NTT DATA Services","Remote (US)","Full-time","96156-200326","https://careers-inc.nttdata.com/job/Plano-Lead-Platform-Engineer-(w-GCP-expertise)-TX/1353423900/"
"Platform Engineering Lead – Kubernetes & Observability","ConsultNet","Remote (US)","Full-time","Not specified","https://www.dice.com/job-detail/0b257c2e-7045-490f-9b03-3429aac251ca"
"Senior Platform Engineer","DataBank Holdings Ltd.","Remote","Full-time","80000-120000","https://www.theladders.com/job/senior-platform-engineer-remote-databank-dallas-tx_82799655"
"Sr. Platform Engineer","Aha! Labs","Remote (North & South America)","Full-time","110000-190000","https://www.aha.io/company/careers/current-openings/sr-platform-engineer-remote"
